Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
1998,1,LAC,Michael Olowokandi,2.5,77.5,-75.0
2007,1,POR,Greg Oden,8.6,77.5,-68.9
2006,3,CHA,Adam Morrison,-1.5,60.8,-62.3
2002,2,CHI,Jay Williams,0.8,61.8,-61.0
2002,5,DEN,Nikoloz Tskitishvili,-1.6,59.0,-60.6
2000,4,CHI,Marcus Fizer,2.7,60.1,-57.4
2009,2,MEM/VAN,Hasheem Thabeet,4.8,61.8,-57.0
2001,1,WAS/WSB,Kwame Brown,20.8,77.5,-56.7
1999,5,TOR,Jonathan Bender,3.8,59.0,-55.2
2003,2,DET,Darko Milicic,7.1,61.8,-54.7
2000,3,LAC,Darius Miles,9.5,60.8,-51.3
2006,1,TOR,Andrea Bargnani,27.5,77.5,-50.0
2006,5,ATL,Shelden Williams,9.9,59.0,-49.1
2004,4,LAC,Shaun Livingston,11.8,60.1,-48.3
2006,4,POR,Tyrus Thomas,12.9,60.1,-47.2
2006,9,GSW,Patrick O'Bryant,0.5,45.1,-44.6
2008,2,MIA,Michael Beasley,17.5,61.8,-44.3
2004,10,CLE,Luke Jackson,0.2,44.3,-44.1
1995,9,NJN,Ed O'Bannon,1.1,45.1,-44.0
2006,10,SEA/OKC,Mouhamed Sene,0.3,44.3,-44.0
2001,9,DET,Rodney White,1.8,45.1,-43.3
2009,5,MIN,Ricky Rubio,17.4,59.0,-41.6
2000,2,MEM/VAN,Stromile Swift,21.3,61.8,-40.5
1990,10,ATL,Rumeal Robinson,5.2,44.3,-39.1
2005,9,GSW,Ike Diogu,6.5,45.1,-38.6
2001,4,CHI,Eddy Curry,21.7,60.1,-38.4
1994,1,MIL,Glenn Robinson,39.8,77.5,-37.7
2003,9,NYK,Mike Sweetney,7.8,45.1,-37.3
1994,9,BOS,Eric Montross,8.5,45.1,-36.6
1993,5,MIN,Isaiah Rider,22.8,59.0,-36.2
1990,9,MIA,Willie Burton,9.1,45.1,-36.0
1990,3,DEN,Mahmoud Abdul-Rauf,25.2,60.8,-35.6
1993,7,SAC,Bobby Hurley,-1.2,34.0,-35.2
2002,13,MIL,Marcus Haislip,0.5,34.7,-34.2
2003,10,WAS/WSB,Jarvis Hayes,10.2,44.3,-34.1
1991,3,SAC,Billy Owens,28.6,60.8,-32.2
2005,13,CHA,Sean May,2.6,34.7,-32.1
2005,1,MIL,Andrew Bogut,45.6,77.5,-31.9
1996,9,DAL,Samaki Walker,14.2,45.1,-30.9
2007,13,CHH/NOK,Julian Wright,3.9,34.7,-30.8
2000,13,ORL,Courtney Alexander,4.1,34.7,-30.6
2000,1,NJN,Kenyon Martin,47.4,77.5,-30.1
2004,13,POR,Sebastian Telfair,4.6,34.7,-30.1
2003,13,MEM/VAN,Marcus Banks,6.6,34.7,-28.1
1997,24,HOU,Rodrick Rhodes,-1.6,26.1,-27.7
1993,13,LAC,Terry Dehere,7.3,34.7,-27.4
2001,21,BOS,Joseph Forte,-0.4,26.9,-27.3
1996,21,NYK,Dontae' Jones,-0.3,26.9,-27.2
2000,24,CHI,Dalibor Bagaric,-0.9,26.1,-27.0
2004,21,UTA,Pavel Podkolzin,-0.1,26.9,-27.0
