Year,Pick,Tm,Player,Modified WS,Expected Pick Value,Delta WS
1995,4,WAS/WSB,Rasheed Wallace,105.1,60.0890666667,45.0109333333
1999,7,WAS/WSB,Richard Hamilton,62.8,34.0098166667,28.7901833333
2003,38,WAS/WSB,Steve Blake,25.3,5.2843166667,20.0156833333
1992,6,WAS/WSB,Tom Gugliotta,40.2,23.838530119,16.361469881
2005,49,WAS/WSB,Andray Blatche,16,4.02,11.98
2008,18,WAS/WSB,JaVale McGee,27.7794,20.8369475,6.9424525
1993,30,WAS/WSB,Gheorghe Muresan,19,14.1725333333,4.8274666667
1992,32,WAS/WSB,Brent Price,12,7.317525,4.682475
1999,35,WAS/WSB,Calvin Booth,8,4.9488992857,3.0511007143
1994,32,WAS/WSB,Jim McIlvaine,9.4,7.317525,2.082475
1990,35,WAS/WSB,Greg Foster,5.6,4.9488992857,0.6511007143
1994,5,WAS/WSB,Juwan Howard,59.4,59.0318266667,0.3681733333
1993,6,WAS/WSB,Calbert Cheaney,23.1,23.838530119,-0.738530119
1998,43,WAS/WSB,Jahidi White,10.4,11.234075,-0.834075
1997,48,WAS/WSB,Predrag Drobnjak,5.6,7.4612,-1.8612
2007,16,WAS/WSB,Nick Young,13.915,16.8012475,-2.8862475
1996,55,WAS/WSB,Ronnie Henderson,0,3.6973133333,-3.6973133333
2002,39,WAS/WSB,Juan Carlos Navarro,1.4,5.4598025,-4.0598025
2000,35,WAS/WSB,Mike Smith,-0.1,4.9488992857,-5.0488992857
2002,38,WAS/WSB,Rod Grizzard,0,5.2843166667,-5.2843166667
1993,38,WAS/WSB,Conrad McRae,0,5.2843166667,-5.2843166667
2008,47,WAS/WSB,Bill Walker,4.509,9.7957542857,-5.2867542857
2007,47,WAS/WSB,Dominic McGuire,4.1,9.7957542857,-5.6957542857
2009,32,WAS/WSB,Jermaine Taylor,0.2505,7.317525,-7.067025
2004,32,WAS/WSB,Peter John Ramos,0,7.317525,-7.317525
2006,48,WAS/WSB,Vladimir Veremeenko,0,7.4612,-7.4612
1995,32,WAS/WSB,Terrence Rencher,-0.2,7.317525,-7.517525
2002,11,WAS/WSB,Jared Jeffries,13.1,21.2969092857,-8.1969092857
1990,37,WAS/WSB,A.J. English,1.1,13.372155,-12.272155
1997,45,WAS/WSB,God Shammgod,-0.1,13.12512,-13.22512
1991,19,WAS/WSB,LaBradford Smith,1.5,14.911735,-13.411735
2004,5,WAS/WSB,Devin Harris,41.3426666667,59.0318266667,-17.68916
2002,17,WAS/WSB,Juan Dixon,6.1,24.5110622222,-18.4110622222
2006,18,WAS/WSB,Oleksiy Pecherov,0.5,20.8369475,-20.3369475
2003,10,WAS/WSB,Jarvis Hayes,10.2,44.26679125,-34.06679125
2001,1,WAS/WSB,Kwame Brown,20.8,77.4647361905,-56.6647361905
